player,gender,archetype,shots,avg_wpa_lost,accuracy,archetype_mean,class_rel_z,rank_overall,rank_in_archetype,archetype_size
Na Li,W,All-courter,5166,0.0767,63.1061,0.0775,-0.1127,73,30,67
Camila Osorio,W,All-courter,6442,0.0767,63.1031,0.0775,-0.1116,74,31,67
Marie Bouzkova,W,Baseline grinder / counterpuncher,14116,0.0678,66.5644,0.0684,-0.0885,18,14,39
Anna Blinkova,W,All-courter,5561,0.077,63.0075,0.0775,-0.0759,77,32,67
Rebecca Marino,W,Big serve / first-strike,5418,0.0859,59.7237,0.0864,-0.0599,126,21,39
Anna Kalinskaya,W,All-courter,11641,0.0771,62.9514,0.0775,-0.0549,78,33,67
Ekaterina Alexandrova,W,Big serve / first-strike,19968,0.086,59.7072,0.0864,-0.0548,127,22,39
Arantxa Rus,W,Baseline grinder / counterpuncher,25824,0.0681,66.4729,0.0684,-0.0537,20,15,39
Mirra Andreeva,W,Baseline grinder / counterpuncher,41582,0.0681,66.4386,0.0684,-0.0406,22,16,39
Venus Williams (1997–2014),W,All-courter,17554,0.0773,62.9004,0.0775,-0.0358,79,34,67
Ashleigh Barty,W,Slice & net specialist,17836,0.0752,63.6808,0.0754,-0.033,69,5,7
Elina Avanesyan,W,Baseline grinder / counterpuncher,7328,0.0684,66.3273,0.0684,0.0018,23,17,39
Leylah Fernandez,W,All-courter,14438,0.0776,62.767,0.0775,0.0142,81,35,67
Ajla Tomljanovic,W,All-courter,6933,0.0776,62.7607,0.0775,0.0165,82,36,67
Polona Hercog,W,All-courter,7175,0.0778,62.7158,0.0775,0.0334,83,37,67
Aryna Sabalenka,W,Big serve / first-strike,15568,0.0874,59.2018,0.0864,0.1031,129,23,39
Barbora Krejcikova,W,Big serve / first-strike,8406,0.0875,59.1475,0.0864,0.1201,130,24,39
Yulia Putintseva,W,Baseline grinder / counterpuncher,11135,0.0692,66.0138,0.0684,0.1216,27,18,39
Jessica Pegula (2015–2024),W,All-courter,21069,0.0784,62.4705,0.0775,0.1256,86,38,67
Venus Williams (2015–2026),W,All-courter,13924,0.0784,62.4704,0.0775,0.1257,87,39,67
Danielle Collins,W,Big serve / first-strike,12049,0.0877,59.0784,0.0864,0.1418,132,25,39
Victoria Mboko,W,All-courter,7808,0.0787,62.3505,0.0775,0.1709,88,40,67
Jelena Jankovic,W,Baseline grinder / counterpuncher,9780,0.0696,65.8808,0.0684,0.1725,29,19,39
Anastasia Potapova,W,All-courter,10893,0.0789,62.2871,0.0775,0.1949,89,41,67
Eugenie Bouchard (2017–2023),W,All-courter,6466,0.0789,62.2826,0.0775,0.1966,90,42,67
Maria Sakkari,W,All-courter,21615,0.0789,62.2793,0.0775,0.1978,91,43,67
Talia Gibson,W,Big serve / first-strike,4246,0.0885,58.7905,0.0864,0.2326,133,26,39
Katie Boulter,W,Big serve / first-strike,5960,0.089,58.6185,0.0864,0.287,135,27,39
Viktorija Golubic,W,Baseline grinder / counterpuncher,6857,0.0703,65.5806,0.0684,0.288,32,20,39
Ons Jabeur,W,Big serve / first-strike,14603,0.0891,58.5925,0.0864,0.2953,136,28,39
Katerina Siniakova,W,All-courter,10865,0.0797,61.9789,0.0775,0.3116,95,44,67
Mary Pierce,W,Baseline grinder / counterpuncher,6825,0.0706,65.4602,0.0684,0.3345,33,21,39
Sorana Cirstea,W,All-courter,10837,0.0799,61.9062,0.0775,0.3393,98,45,67
Diana Shnaider,W,All-courter,8818,0.0802,61.7993,0.0775,0.3799,100,46,67
Svetlana Kuznetsova,W,Baseline grinder / counterpuncher,13962,0.071,65.3248,0.0684,0.3868,36,22,39
Shelby Rogers,W,All-courter,5715,0.0803,61.7814,0.0775,0.3868,101,47,67
Eugenie Bouchard (2013–2016),W,All-courter,12130,0.0804,61.712,0.0775,0.4132,103,48,67
